verb_key	role	arg_key
40006025006	A0	40005001015
40006025006	A1	40006025011
40006025006	A1	40006025014
40006025011	A0	40005001015
40006025011	A1	40006025010
40006025014	A0	40005001015
40006025014	A1	40006025013
40006025020	A0	40005001015
40006025020	A1	40006025019
40006026001	A0	40005001015
40006026009	A0	40006026004
40006026011	A0	40006026004
40006026013	A0	40006026004
40006026022	A0	40006026018
40006026022	A1	40006026023
40006026027	A0	40006026025
40006027005	A0	40006027001
40006027006	A0	40006027001
40006027006	A1	40006027007
40006027007	A0	40006027001
40006027007	A1	40006027012
40006028005	A0	40005001015
40006028006	A0	40005001015
40006028006	A1	40006028008
40006028012	A0	40006028008
40006028014	A0	40006028008
40006028016	A0	40006028008
40006029001	A0	40004017005
40006029001	A2	40006029003
40006029012	A0	40006029006
40006030008	A0	40006030004
40006030013	A1	40006030004
40006030017	A1	40006030004
40006030017	A0	40006030015
40006031003	A0	40006030022
40006031004	A0	40006030022
40006031006	A0	40006030022
40006031006	A1	40006031005
40006031009	A0	40006030022
40006031009	A1	40006031008
40006031012	A0	40006030022
40006031012	A1	40006031011
40006032006	A1	40006032003
40006032006	A0	40006032005
40006032007	A0	40006032010
40006032015	A0	40006030022
40006032015	A1	40006032016
40006033001	A0	40006030022
40006033001	A1	40006033005
40006033001	A1	40006033008
40006033013	A1	40006033011
40006033013	A2	40006033014
40006034003	A0	40006030022
40006034010	A0	40006034009
40006034010	A1	40006034011
40007001002	A0	40006030022
40007001005	A1	40006030022
40007002005	A0	40006030022
40007002006	A1	40006030022
40007002011	A0	40006030022
40007002012	A1	40007002011
40007002012	A2	40007002013
40007003003	A0	40006030022
40007003003	A1	40007003005
40007003021	A0	40006030022
40007003021	A1	40007003019
40007004003	A0	40006030022
40007004003	A2	40007004005
40007004007	A0	40007004005
40007004008	A0	40006030022
40007004008	A1	40007004010
40007004016	A0	40006030022
40007005002	A0	40007005001
40007005002	A1	40007005009
40007005012	A0	40007005001
40007005013	A0	40007005001
40007005013	A1	40007005015
40007006002	A0	40006030022
40007006002	A1	40007006004
40007006002	A2	40007006006
40007006008	A0	40006030022
40007006008	A1	40007006010
40007006017	A0	40007006006
40007006017	A0	40007006014
40007006017	A1	40007006018
40007006024	A1	40007006006
40007006024	A1	40007006014
40007006025	A0	40007006006
40007006025	A0	40007006014
40007006025	A1	40007006026
